GO:0000005	obsolete ribosomal chaperone activity
GO:0008995	ribonuclease E activity
GO:0008996	ribonuclease G activity
GO:0008997	ribonuclease R activity
GO:0008998	ribonucleoside-triphosphate reductase activity
GO:0008999	ribosomal-protein-alanine N-acetyltransferase activity
GO:0009000	selenocysteine lyase activity
GO:0009001	serine O-acetyltransferase activity
GO:0009002	serine-type D-Ala-D-Ala carboxypeptidase activity
GO:0009003	obsolete signal peptidase activity
GO:0009004	obsolete signal peptidase I activity
GO:0009005	obsolete signal peptidase II activity
GO:0009006	obsolete siroheme synthase activity
GO:0009007	site-specific DNA-methyltransferase (adenine-specific) activity
GO:0009008	DNA-methyltransferase activity
GO:0009009	site-specific recombinase activity
GO:0009010	sorbitol-6-phosphate 2-dehydrogenase activity
GO:0009011	starch synthase activity
GO:0009012	aminoglycoside 3''-adenylyltransferase activity
GO:0009013	succinate-semialdehyde dehydrogenase [NAD(P)+] activity
GO:0009014	succinyl-diaminopimelate desuccinylase activity
GO:0009015	N-succinylarginine dihydrolase activity
GO:0009016	succinyldiaminopimelate transaminase activity
GO:0009017	succinylglutamate desuccinylase activity
GO:0009018	sucrose phosphorylase activity
GO:0009019	tRNA (guanine-N1-)-methyltransferase activity
GO:0009020	tRNA (guanosine-2'-O-)-methyltransferase activity
GO:0009022	tRNA nucleotidyltransferase activity
GO:0009023	obsolete tRNA sulfurtransferase
GO:0009024	tagatose-6-phosphate kinase activity
GO:0009025	tagatose-bisphosphate aldolase activity
GO:0009026	tagaturonate reductase activity
GO:0009027	tartrate dehydrogenase activity
GO:0009028	tartronate-semialdehyde synthase activity
GO:0009029	tetraacyldisaccharide 4'-kinase activity
GO:0009030	thiamine-phosphate kinase activity
GO:0009032	thymidine phosphorylase activity
GO:0009033	trimethylamine-N-oxide reductase activity
GO:0009034	tryptophanase activity
GO:0009035	type I site-specific deoxyribonuclease activity
GO:0009036	type II site-specific deoxyribonuclease activity
GO:0009037	tyrosine-based site-specific recombinase activity
GO:0009038	undecaprenol kinase activity
GO:0009039	urease activity
GO:0009040	ureidoglycolate dehydrogenase activity
GO:0009041	uridylate kinase activity
GO:0009042	valine-pyruvate transaminase activity
GO:0009044	xylan 1,4-beta-xylosidase activity
GO:0009045	xylose isomerase activity
GO:0009046	zinc D-Ala-D-Ala carboxypeptidase activity
GO:0009049	obsolete aspartic-type signal peptidase activity
GO:0009055	electron transfer activity
GO:0009374	biotin binding
GO:0009377	obsolete HslUV protease activity
GO:0009378	four-way junction helicase activity
GO:0009381	excinuclease ABC activity
GO:0009383	rRNA (cytosine-C5-)-methyltransferase activity
GO:0009384	N-acylmannosamine kinase activity
GO:0009385	N-acylmannosamine-6-phosphate 2-epimerase activity
GO:0009388	obsolete antisense RNA
GO:0009389	dimethyl sulfoxide reductase activity
GO:0009392	N-acetyl-anhydromuramoyl-L-alanine amidase activity
GO:0009400	obsolete signal transducer, downstream of receptor, with serine/threonine phosphatase activity
GO:0009457	obsolete flavodoxin
GO:0009458	obsolete cytochrome
GO:0009459	obsolete cytochrome a
GO:0009460	obsolete cytochrome b
GO:0009461	obsolete cytochrome c
GO:0009462	obsolete cytochrome d
GO:0009463	obsolete cytochrome b/b6
GO:0009464	obsolete cytochrome b5
GO:0009465	obsolete soluble cytochrome b562
GO:0009466	obsolete class I cytochrome c
GO:0009467	obsolete monoheme class I cytochrome c
GO:0009468	obsolete diheme class I cytochrome c
GO:0009469	obsolete class II cytochrome c
GO:0009470	obsolete class IIa cytochrome c
GO:0009471	obsolete class III cytochrome c
GO:0009472	obsolete cytochrome c3 (tetraheme)
GO:0009473	obsolete cytochrome c7 (triheme)
GO:0009474	obsolete nonaheme cytochrome c
GO:0009475	obsolete high-molecular-weight cytochrome c (hexadecaheme)
GO:0009476	obsolete class IV cytochrome c
GO:0009477	obsolete cytochrome c1
GO:0009478	obsolete cytochrome c554
GO:0009479	obsolete cytochrome f
GO:0009480	obsolete class IIb cytochrome c
GO:0009481	obsolete aa3-type cytochrome c oxidase
GO:0009482	obsolete ba3-type cytochrome c oxidase
GO:0009483	obsolete caa3-type cytochrome c oxidase
GO:0009485	obsolete cbb3-type cytochrome c oxidase
GO:0009486	cytochrome bo3 ubiquinol oxidase activity
GO:0009487	obsolete glutaredoxin
GO:0009488	obsolete amicyanin
GO:0009489	obsolete rubredoxin
GO:0009490	obsolete mononuclear iron electron carrier
GO:0009491	obsolete redox-active disulfide bond electron carrier
GO:0009492	obsolete 2Fe-2S electron transfer carrier
GO:0009493	obsolete adrenodoxin-type ferredoxin
GO:0009494	obsolete chloroplast-type ferredoxin
GO:0009495	obsolete thioredoxin-like 2Fe-2S ferredoxin
GO:0009496	plastoquinol--plastocyanin reductase activity
GO:0009497	obsolete 3Fe-4S/4Fe-4S electron transfer carrier
GO:0009498	obsolete bacterial-type ferredoxin
GO:0009499	obsolete monocluster bacterial-type ferredoxin
GO:0009500	obsolete dicluster bacterial-type ferredoxin
GO:0009540	zeaxanthin epoxidase [overall] activity
GO:0009669	sucrose:cation symporter activity
GO:0009670	triose-phosphate:phosphate antiporter activity
GO:0009671	nitrate:proton symporter activity
GO:0009672	auxin:proton symporter activity
GO:0009673	low-affinity phosphate transmembrane transporter activity
GO:0009674	potassium:sodium symporter activity
GO:0009675	high-affinity sulfate:proton symporter activity
GO:0009676	low-affinity sulfate:proton symporter activity
GO:0009678	hydrogen-translocating pyrophosphatase activity
GO:0009679	hexose:proton symporter activity
GO:0009702	L-arabinokinase activity
GO:0009703	nitrate reductase (NADH) activity
GO:0009784	transmembrane receptor histidine kinase activity
GO:0009815	1-aminocyclopropane-1-carboxylate oxidase activity
GO:0009824	AMP dimethylallyltransferase activity
GO:0009881	photoreceptor activity
GO:0009882	blue light photoreceptor activity
GO:0009883	red or far-red light photoreceptor activity
GO:0009884	cytokinin receptor activity
GO:0009885	transmembrane histidine kinase cytokinin receptor activity
GO:0009899	ent-kaurene synthase activity
GO:0009905	ent-copalyl diphosphate synthase activity
GO:0009916	alternative oxidase activity
GO:0009917	sterol 5-alpha reductase activity
GO:0009918	sterol delta7 reductase activity
GO:0009922	fatty acid elongase activity
GO:0009924	octadecanal decarbonylase activity
GO:0009927	histidine phosphotransfer kinase activity
GO:0009931	calcium-dependent protein serine/threonine kinase activity
GO:0009936	obsolete expansin
GO:0009940	amino-terminal vacuolar sorting propeptide binding
GO:0009973	adenylyl-sulfate reductase activity
GO:0009974	zeinoxanthin epsilon hydroxylase activity
GO:0009975	cyclase activity
GO:0009976	tocopherol cyclase activity
GO:0009977	proton motive force dependent protein transmembrane transporter activity
GO:0009978	allene oxide synthase activity
GO:0009979	16:0 monogalactosyldiacylglycerol desaturase activity
GO:0009980	obsolete glutamate carboxypeptidase activity
GO:0009982	pseudouridine synthase activity
GO:0009983	obsolete tyrosine aminopeptidase activity
GO:0009984	obsolete adenylate forming enzyme activity
GO:0009985	obsolete dihydroflavonol(thiole) lyase activity
GO:0010011	auxin binding
GO:0010012	steroid 22-alpha hydroxylase activity
GO:0010013	N-1-naphthylphthalamic acid binding
GO:0010174	nucleoside transmembrane transporter activity, against a concentration gradient
GO:0010175	sphingosine transmembrane transporter activity
GO:0010176	homogentisate phytyltransferase activity
GO:0010177	2-(2'-methylthio)ethylmalate synthase activity
GO:0010178	IAA-amino acid conjugate hydrolase activity
GO:0010179	IAA-Ala conjugate hydrolase activity
GO:0010180	thioglucosidase binding
GO:0010181	FMN binding
GO:0010209	vacuolar sorting signal binding
GO:0010210	IAA-Phe conjugate hydrolase activity
GO:0010211	IAA-Leu conjugate hydrolase activity
GO:0010242	oxygen evolving activity
GO:0010276	phytol kinase activity
GO:0010277	chlorophyllide a oxygenase [overall] activity
GO:0010279	indole-3-acetic acid amido synthetase activity
GO:0010280	UDP-L-rhamnose synthase activity
GO:0010283	pinoresinol reductase activity
GO:0010284	lariciresinol reductase activity
GO:0010285	L,L-diaminopimelate aminotransferase activity
GO:0010290	chlorophyll catabolite transmembrane transporter activity
GO:0010291	carotene beta-ring hydroxylase activity
GO:0010292	GTP:GDP antiporter activity
GO:0010293	abscisic aldehyde oxidase activity
GO:0010294	abscisic acid glucosyltransferase activity
GO:0010295	(+)-abscisic acid 8'-hydroxylase activity
GO:0010296	prenylcysteine methylesterase activity
GO:0010297	heteropolysaccharide binding
GO:0010298	dihydrocamalexic acid decarboxylase activity
GO:0010301	xanthoxin dehydrogenase activity
GO:0010303	limit dextrinase activity
GO:0010307	acetylglutamate kinase regulator activity
GO:0010308	acireductone dioxygenase (Ni2+-requiring) activity
GO:0010309	acireductone dioxygenase [iron(II)-requiring] activity
GO:0010313	phytochrome binding
GO:0010314	phosphatidylinositol-5-phosphate binding
GO:0010320	obsolete arginine/lysine endopeptidase activity
GO:0010326	methionine-oxo-acid transaminase activity
GO:0010327	acetyl CoA:(Z)-3-hexen-1-ol acetyltransferase activity
GO:0010328	auxin influx transmembrane transporter activity
GO:0010329	auxin efflux transmembrane transporter activity
GO:0010331	gibberellin binding
GO:0010333	terpene synthase activity
GO:0010334	sesquiterpene synthase activity
GO:0010340	carboxyl-O-methyltransferase activity
GO:0010341	gibberellin carboxyl-O-methyltransferase activity
GO:0010347	L-galactose-1-phosphate phosphatase activity
GO:0010348	lithium:proton antiporter activity
GO:0010349	L-galactose dehydrogenase activity
GO:0010354	homogentisate prenyltransferase activity
GO:0010355	homogentisate farnesyltransferase activity
GO:0010356	homogentisate geranylgeranyltransferase activity
GO:0010357	homogentisate solanesyltransferase activity
GO:0010385	double-stranded methylated DNA binding
GO:0010420	polyprenyldihydroxybenzoate methyltransferase activity
GO:0010427	abscisic acid binding
GO:0010428	methyl-CpNpG binding
GO:0010429	methyl-CpNpN binding
GO:0010435	3-oxo-2-(2'-pentenyl)cyclopentane-1-octanoic acid CoA ligase activity
GO:0010436	carotenoid dioxygenase activity
GO:0010437	9,10 (9', 10')-carotenoid-cleaving dioxygenase activity
GO:0010461	light-activated ion channel activity
GO:0010465	nerve growth factor receptor activity
GO:0010471	GDP-galactose:mannose-1-phosphate guanylyltransferase activity
GO:0010472	GDP-galactose:glucose-1-phosphate guanylyltransferase activity
GO:0010473	GDP-galactose:myoinositol-1-phosphate guanylyltransferase activity
GO:0010474	glucose-1-phosphate guanylyltransferase (GDP) activity
GO:0010475	galactose-1-phosphate guanylyltransferase (GDP) activity
GO:0010484	H3 histone acetyltransferase activity
GO:0010485	H4 histone acetyltransferase activity
GO:0010486	manganese:proton antiporter activity
GO:0010487	thermospermine synthase activity
GO:0010488	UDP-galactose:N-glycan beta-1,3-galactosyltransferase activity
GO:0010489	UDP-4-keto-6-deoxy-glucose-3,5-epimerase activity
GO:0010490	UDP-4-keto-rhamnose-4-keto-reductase activity
GO:0010491	UTP:arabinose-1-phosphate uridylyltransferase activity
GO:0010521	telomerase inhibitor activity
GO:0010538	obsolete Hsp27 protein regulator activity
GO:0010539	obsolete Hsp27 protein inhibitor activity
GO:0010542	nitrate efflux transmembrane transporter activity
GO:0010545	obsolete Hsp90 protein regulator activity
GO:0010546	obsolete Hsp90 protein inhibitor activity
GO:0010698	acetyltransferase activator activity
GO:0010736	serum response element binding
GO:0010843	obsolete promoter binding
GO:0010844	recombination hotspot binding
GO:0010851	cyclase regulator activity
GO:0010852	cyclase inhibitor activity
GO:0010853	cyclase activator activity
GO:0010854	adenylate cyclase regulator activity
GO:0010855	adenylate cyclase inhibitor activity
GO:0010856	adenylate cyclase activator activity
GO:0010857	calcium-dependent protein kinase activity
GO:0010858	calcium-dependent protein kinase regulator activity
GO:0010859	calcium-dependent cysteine-type endopeptidase inhibitor activity
GO:0010860	obsolete proteasome regulator activity
GO:0010943	NADPH pyrophosphatase activity
GO:0010945	CoA pyrophosphatase activity
GO:0010997	anaphase-promoting complex binding
GO:0015000	obsolete polyferredoxin
GO:0015001	obsolete high-potential iron-sulfur carrier
GO:0015002	heme-copper terminal oxidase activity
GO:0015003	obsolete copper electron carrier
GO:0015004	obsolete small blue copper electron carrier
GO:0015005	obsolete azurin
GO:0015006	obsolete plastocyanin
GO:0015007	obsolete electron carrier, chlorophyll electron transport system
GO:0015016	[heparan sulfate]-glucosamine N-sulfotransferase activity
GO:0015017	obsolete glypican
GO:0015018	galactosylgalactosylxylosylprotein 3-beta-glucuronosyltransferase activity
GO:0015019	heparan-alpha-glucosaminide N-acetyltransferase activity
GO:0015020	glucuronosyltransferase activity
GO:0015021	heparin-sulfate lyase activity
GO:0015023	obsolete syndecan
GO:0015024	glucuronate-2-sulfatase activity
GO:0015025	obsolete GPI-anchored membrane-bound receptor
GO:0015026	coreceptor activity
GO:0015029	obsolete internalization receptor activity
GO:0015034	obsolete cytochrome P450 activity
GO:0015035	protein disulfide oxidoreductase activity
GO:0015036	disulfide oxidoreductase activity
GO:0015037	peptide disulfide oxidoreductase activity
GO:0015038	glutathione disulfide oxidoreductase activity
GO:0015039	NADPH-adrenodoxin reductase activity
GO:0015040	obsolete electron transfer flavoprotein, group I
GO:0015041	obsolete electron transfer flavoprotein, group II
GO:0015042	trypanothione-disulfide reductase activity
GO:0015043	leghemoglobin reductase activity
GO:0015044	rubredoxin-NAD+ reductase activity
GO:0015045	rubredoxin-NAD(P)+ reductase activity
GO:0015046	rubredoxin-NADP reductase activity
GO:0015047	NADPH-cytochrome-c2 reductase activity
GO:0015048	phthalate dioxygenase reductase activity
GO:0015049	methane monooxygenase activity
GO:0015051	obsolete X-opioid receptor activity
GO:0015052	beta3-adrenergic receptor activity
GO:0015053	obsolete opsin
GO:0015054	gastrin receptor activity
GO:0015055	secretin receptor activity
GO:0015056	corticotrophin-releasing factor receptor activity
GO:0015057	thrombin-activated receptor activity
GO:0015058	obsolete epidermal growth factor-like module containing hormone receptor activity
GO:0015059	obsolete blue-sensitive opsin
GO:0015060	obsolete green-sensitive opsin
GO:0015061	obsolete red-sensitive opsin
GO:0015062	obsolete violet-sensitive opsin
GO:0015063	obsolete long-wave-sensitive opsin
GO:0015064	obsolete UV-sensitive opsin
GO:0015065	uridine nucleotide receptor activity
GO:0015066	alpha-amylase inhibitor activity
GO:0015067	amidinotransferase activity
GO:0015068	glycine amidinotransferase activity
GO:0015069	scyllo-inosamine-4-phosphate amidinotransferase activity
GO:0015070	obsolete toxin activity
GO:0015072	obsolete phosphatidylinositol 3-kinase, class I, catalyst activity
GO:0015073	obsolete phosphatidylinositol 3-kinase, class I, regulator activity
GO:0015075	ion transmembrane transporter activity
GO:0015076	obsolete heavy metal ion transporter activity
GO:0015077	monovalent inorganic cation transmembrane transporter activity
GO:0015078	proton transmembrane transporter activity
GO:0015079	potassium ion transmembrane transporter activity
GO:0015080	silver ion transmembrane transporter activity
GO:0015081	sodium ion transmembrane transporter activity
GO:0015083	aluminum ion transmembrane transporter activity
GO:0015085	calcium ion transmembrane transporter activity
GO:0015086	cadmium ion transmembrane transporter activity
GO:0015087	cobalt ion transmembrane transporter activity
GO:0015089	high-affinity copper ion transmembrane transporter activity
GO:0015090	low-affinity ferric iron ion transmembrane transporter activity
GO:0015091	ferric iron transmembrane transporter activity
GO:0015092	high-affinity ferric iron transmembrane transporter activity
GO:0015093	ferrous iron transmembrane transporter activity
GO:0015094	lead ion transmembrane transporter activity
GO:0015095	magnesium ion transmembrane transporter activity
GO:0015096	obsolete manganese resistance permease activity
GO:0015097	mercury ion transmembrane transporter activity
GO:0015098	molybdate ion transmembrane transporter activity
GO:0015099	nickel cation transmembrane transporter activity
GO:0015100	vanadium ion transmembrane transporter activity
GO:0015101	organic cation transmembrane transporter activity
GO:0015103	inorganic anion transmembrane transporter activity
GO:0015104	antimonite transmembrane transporter activity
GO:0015105	arsenite transmembrane transporter activity
GO:0015106	bicarbonate transmembrane transporter activity
GO:0015107	chlorate transmembrane transporter activity
GO:0015108	chloride transmembrane transporter activity
GO:0015109	chromate transmembrane transporter activity
GO:0015110	cyanate transmembrane transporter activity
GO:0015111	iodide transmembrane transporter activity
GO:0015112	nitrate transmembrane transporter activity
GO:0015113	nitrite transmembrane transporter activity
GO:0015114	phosphate ion transmembrane transporter activity
GO:0015115	silicate transmembrane transporter activity
GO:0015116	sulfate transmembrane transporter activity
GO:0015117	thiosulfate transmembrane transporter activity
GO:0015119	hexose phosphate transmembrane transporter activity
GO:0015120	phosphoglycerate transmembrane transporter activity
GO:0015121	phosphoenolpyruvate:phosphate antiporter activity
GO:0015123	acetate transmembrane transporter activity
GO:0015124	allantoate transmembrane transporter activity
GO:0015125	bile acid transmembrane transporter activity
GO:0015126	canalicular bile acid transmembrane transporter activity
GO:0015127	bilirubin transmembrane transporter activity
GO:0015128	gluconate transmembrane transporter activity
GO:0015129	lactate transmembrane transporter activity
GO:0015130	mevalonate transmembrane transporter activity
GO:0015131	oxaloacetate transmembrane transporter activity
GO:0015132	prostaglandin transmembrane transporter activity
GO:0015133	uronic acid transmembrane transporter activity
GO:0015134	hexuronate transmembrane transporter activity
GO:0015135	glucuronate transmembrane transporter activity
GO:0015136	sialic acid transmembrane transporter activity
GO:0015137	citrate transmembrane transporter activity
GO:0015138	fumarate transmembrane transporter activity
GO:0015139	alpha-ketoglutarate transmembrane transporter activity
GO:0015140	malate transmembrane transporter activity
GO:0015141	succinate transmembrane transporter activity
GO:0015142	tricarboxylic acid transmembrane transporter activity
GO:0015143	urate transmembrane transporter activity
GO:0015144	carbohydrate transmembrane transporter activity
GO:0015145	monosaccharide transmembrane transporter activity
GO:0015146	pentose transmembrane transporter activity
GO:0015147	L-arabinose transmembrane transporter activity
GO:0015148	D-xylose transmembrane transporter activity
GO:0015149	hexose transmembrane transporter activity
GO:0015150	fucose transmembrane transporter activity
GO:0015151	alpha-glucoside transmembrane transporter activity
GO:0015152	glucose-6-phosphate transmembrane transporter activity
GO:0015153	rhamnose transmembrane transporter activity
GO:0015154	disaccharide transmembrane transporter activity
GO:0015155	lactose transmembrane transporter activity
GO:0015156	melibiose transmembrane transporter activity
GO:0015157	oligosaccharide transmembrane transporter activity
GO:0015158	raffinose transmembrane transporter activity
GO:0015159	polysaccharide transmembrane transporter activity
GO:0015160	beta-glucan transmembrane transporter activity
GO:0015161	capsular polysaccharide transmembrane transporter activity
GO:0015162	teichoic acid transmembrane transporter activity
GO:0015164	glucuronoside transmembrane transporter activity
GO:0015165	pyrimidine nucleotide-sugar transmembrane transporter activity
GO:0015166	polyol transmembrane transporter activity
GO:0015167	arabitol transmembrane transporter activity
GO:0015168	glycerol transmembrane transporter activity
GO:0015169	glycerol-3-phosphate transmembrane transporter activity
GO:0015170	propanediol transmembrane transporter activity
GO:0015171	amino acid transmembrane transporter activity
GO:0015172	acidic amino acid transmembrane transporter activity
GO:0015173	aromatic amino acid transmembrane transporter activity
GO:0015174	basic amino acid transmembrane transporter activity
GO:0015175	neutral amino acid transmembrane transporter activity
GO:0015176	obsolete holin
GO:0015179	L-amino acid transmembrane transporter activity
GO:0015180	L-alanine transmembrane transporter activity
GO:0015181	arginine transmembrane transporter activity
GO:0015182	L-asparagine transmembrane transporter activity
GO:0015183	L-aspartate transmembrane transporter activity
GO:0015184	L-cystine transmembrane transporter activity
GO:0015185	gamma-aminobutyric acid transmembrane transporter activity
GO:0015186	L-glutamine transmembrane transporter activity
GO:0015187	glycine transmembrane transporter activity
GO:0015188	L-isoleucine transmembrane transporter activity
GO:0015189	L-lysine transmembrane transporter activity
GO:0015190	L-leucine transmembrane transporter activity
GO:0015191	L-methionine transmembrane transporter activity
GO:0015192	L-phenylalanine transmembrane transporter activity
GO:0015193	L-proline transmembrane transporter activity
GO:0015194	L-serine transmembrane transporter activity
GO:0015195	L-threonine transmembrane transporter activity
GO:0015196	L-tryptophan transmembrane transporter activity
GO:0015199	amino-acid betaine transmembrane transporter activity
GO:0015200	methylammonium transmembrane transporter activity
GO:0015203	polyamine transmembrane transporter activity
GO:0015204	urea transmembrane transporter activity
GO:0015205	nucleobase transmembrane transporter activity
GO:0015207	adenine transmembrane transporter activity
GO:0015208	guanine transmembrane transporter activity
GO:0015209	cytosine transmembrane transporter activity
GO:0015210	uracil transmembrane transporter activity
GO:0015211	purine nucleoside transmembrane transporter activity
GO:0015212	cytidine transmembrane transporter activity
GO:0015213	uridine transmembrane transporter activity
GO:0015214	pyrimidine nucleoside transmembrane transporter activity
GO:0015215	nucleotide transmembrane transporter activity
GO:0015216	purine nucleotide transmembrane transporter activity
GO:0015217	ADP transmembrane transporter activity
GO:0015218	pyrimidine nucleotide transmembrane transporter activity
GO:0015219	protein-DNA complex transmembrane transporter activity
GO:0015220	choline transmembrane transporter activity
GO:0015221	lipopolysaccharide transmembrane transporter activity
GO:0015223	obsolete vitamin or cofactor transporter activity
GO:0015224	biopterin transmembrane transporter activity
GO:0015225	biotin transmembrane transporter activity
GO:0015226	carnitine transmembrane transporter activity
GO:0015227	acyl carnitine transmembrane transporter activity
GO:0015228	coenzyme A transmembrane transporter activity
GO:0015229	L-ascorbic acid transmembrane transporter activity
GO:0015230	FAD transmembrane transporter activity
GO:0015231	5-formyltetrahydrofolate transmembrane transporter activity
GO:0015232	heme transporter activity
GO:0015233	pantothenate transmembrane transporter activity
GO:0015234	thiamine transmembrane transporter activity
GO:0015238	drug transmembrane transporter activity
GO:0015240	amiloride transmembrane transporter activity
GO:0015243	cycloheximide transmembrane transporter activity
GO:0015244	fluconazole transmembrane transporter activity
GO:0015245	fatty acid transmembrane transporter activity
GO:0015247	aminophospholipid transmembrane transporter activity
GO:0015248	sterol transporter activity
GO:0015250	water channel activity
GO:0015251	ammonium channel activity
GO:0015252	proton channel activity
GO:0015253	obsolete sugar/polyol channel activity
GO:0015254	glycerol channel activity
GO:0015255	propanediol channel activity
GO:0015256	obsolete monocarboxylate channel activity
GO:0015257	obsolete organic anion channel activity
GO:0015258	obsolete gluconate channel activity
GO:0015259	obsolete glutamate channel activity
GO:0015260	obsolete isethionate channel activity
GO:0015261	obsolete lactate channel activity
GO:0015262	obsolete taurine channel activity
GO:0015263	obsolete amine/amide/polyamine channel activity
GO:0015264	methylammonium channel activity
GO:0015265	urea channel activity
GO:0015267	channel activity
GO:0015269	calcium-activated potassium channel activity
GO:0015271	outward rectifier potassium channel activity
GO:0015272	ATP-activated inward rectifier potassium channel activity
GO:0015274	organellar voltage-gated chloride channel activity
GO:0015275	stretch-activated, cation-selective, calcium channel activity
GO:0015276	ligand-gated ion channel activity
GO:0015277	kainate selective glutamate receptor activity
GO:0015278	calcium-release channel activity
GO:0015279	store-operated calcium channel activity
GO:0015280	ligand-gated sodium channel activity
GO:0015282	obsolete NADPH oxidase-associated cytochrome b558 hydrogen channel activity
GO:0015283	obsolete apoptogenic cytochrome c release channel activity
GO:0015284	fructose uniporter activity
GO:0015288	porin activity
GO:0015289	obsolete pore-forming toxin activity
GO:0015291	secondary active transmembrane transporter activity
GO:0015292	uniporter activity
GO:0015293	symporter activity
GO:0015294	solute:cation symporter activity
GO:0015295	solute:proton symporter activity
GO:0015296	anion:cation symporter activity
GO:0015297	antiporter activity
GO:0015298	solute:cation antiporter activity
GO:0015299	solute:proton antiporter activity
GO:0015301	anion:anion antiporter activity
GO:0015303	obsolete galactose, glucose uniporter activity
GO:0015304	glucose uniporter activity
GO:0015305	obsolete lactose, galactose:proton symporter activity
GO:0015306	sialate:cation symporter activity
GO:0015307	drug:proton antiporter activity
GO:0015308	amiloride:proton antiporter activity
GO:0015309	cycloheximide:proton antiporter activity
GO:0015310	benomyl:proton antiporter activity
GO:0015311	monoamine:proton antiporter activity
GO:0015312	polyamine:proton antiporter activity
GO:0015313	fluconazole:proton antiporter activity
GO:0015314	aminotriazole:proton antiporter activity
GO:0015315	organophosphate:inorganic phosphate antiporter activity
GO:0015316	obsolete nitrite/nitrate porter activity
GO:0015317	phosphate:proton symporter activity
GO:0015318	inorganic molecular entity transmembrane transporter activity
GO:0015319	sodium:inorganic phosphate symporter activity
GO:0015321	sodium-dependent phosphate transmembrane transporter activity
GO:0015322	secondary active oligopeptide transmembrane transporter activity
GO:0015323	obsolete type V protein secretor activity
GO:0015324	peptide-acetyl-CoA secondary active transmembrane transporter activity
GO:0015325	acetyl-CoA:CoA antiporter activity
GO:0015327	cystine:glutamate antiporter activity
GO:0015328	cystine secondary active transmembrane transporter activity
GO:0015330	high-affinity glutamine transmembrane transporter activity
GO:0015331	obsolete asparagine/glutamine permease activity
GO:0015332	obsolete leucine/valine/isoleucine permease activity
GO:0015333	peptide:proton symporter activity
GO:0015334	high-affinity oligopeptide transmembrane transporter activity
GO:0015335	obsolete heavy metal ion:hydrogen symporter activity
GO:0015336	obsolete high affinity metal ion uptake transporter activity
GO:0015337	obsolete low affinity metal ion uptake transporter activity
GO:0015339	obsolete cobalt, zinc uptake permease activity
GO:0015340	obsolete zinc, cadmium uptake permease activity
GO:0015341	zinc efflux active transmembrane transporter activity
GO:0015342	obsolete zinc, iron permease activity
GO:0015343	siderophore transmembrane transporter activity
GO:0015344	siderophore uptake transmembrane transporter activity
GO:0015345	ferric enterobactin:proton symporter activity
GO:0015346	ferric triacetylfusarinine C:proton symporter activity
GO:0015347	sodium-independent organic anion transmembrane transporter activity
GO:0015348	obsolete prostaglandin/thromboxane transporter activity
GO:0015349	thyroid hormone transmembrane transporter activity
GO:0015350	methotrexate transmembrane transporter activity
GO:0015351	bilirubin secondary active transmembrane transporter activity
GO:0015352	secondary active sterol transmembrane transporter activity
GO:0015355	secondary active monocarboxylate transmembrane transporter activity
GO:0015356	obsolete monocarboxylate (lactate, pyruvate, mevalonate) uptake/efflux porter activity
GO:0015358	obsolete amino acid/choline transmembrane transporter activity
GO:0015360	acetate:proton symporter activity
GO:0015361	low-affinity sodium:dicarboxylate symporter activity
GO:0015362	high-affinity sodium:dicarboxylate symporter activity
GO:0015363	obsolete dicarboxylate (succinate/fumarate/malate) antiporter activity
GO:0015364	dicarboxylate:inorganic phosphate antiporter activity
GO:0015366	malate:proton symporter activity
GO:0015367	oxoglutarate:malate antiporter activity
GO:0015368	calcium:cation antiporter activity
GO:0015369	calcium:proton antiporter activity
GO:0015370	solute:sodium symporter activity
GO:0015371	galactose:sodium symporter activity
GO:0015372	obsolete glutamate/aspartate:sodium symporter activity
GO:0015373	anion:sodium symporter activity
GO:0015375	glycine:sodium symporter activity
GO:0015376	obsolete betaine/GABA:sodium symporter activity
GO:0015377	cation:chloride symporter activity
GO:0015378	sodium:chloride symporter activity
GO:0015379	potassium:chloride symporter activity
GO:0015381	high-affinity sulfate transmembrane transporter activity
GO:0015382	sodium:sulfate symporter activity
GO:0015383	sulfate:bicarbonate antiporter activity
GO:0015385	sodium:proton antiporter activity
GO:0015386	potassium:proton antiporter activity
GO:0015387	potassium:proton symporter activity
GO:0015389	pyrimidine- and adenine-specific:sodium symporter activity
GO:0015390	purine-specific nucleoside:sodium symporter activity
GO:0015391	nucleobase:cation symporter activity
GO:0015393	obsolete uracil/uridine permease activity
GO:0015394	uridine:proton symporter activity
GO:0015395	nucleoside transmembrane transporter activity, down a concentration gradient
GO:0015398	high-affinity secondary active ammonium transmembrane transporter activity
GO:0015399	primary active transmembrane transporter activity
GO:0015400	low-affinity secondary active ammonium transmembrane transporter activity
GO:0015401	urea:sodium symporter activity
GO:0015405	P-P-bond-hydrolysis-driven transmembrane transporter activity
GO:0015406	obsolete ABC-type uptake permease activity
GO:0015407	monosaccharide-transporting ATPase activity
GO:0015408	ferric-transporting ATPase activity
GO:0015410	manganese-transporting ATPase activity
GO:0015411	taurine-transporting ATPase activity
GO:0015412	ATPase-coupled molybdate transmembrane transporter activity
GO:0015413	nickel-transporting ATPase activity
GO:0015414	ATPase-coupled nitrate transmembrane transporter activity
GO:0015415	ATPase-coupled phosphate ion transmembrane transporter activity
GO:0015416	ATPase-coupled organic phosphonate transmembrane transporter activity
GO:0015417	polyamine-transporting ATPase activity
